Station,Year,Month,Monthly Rainfall
Dhaka,2001,10,177
Dhaka,2001,11,18
Dhaka,2001,12,0
Dhaka,2002,1,22
Dhaka,2002,2,4
Dhaka,2002,3,51
Dhaka,2002,4,111
Dhaka,2002,5,272
Dhaka,2002,6,373
Dhaka,2002,7,446
Dhaka,2002,8,272
Dhaka,2002,9,156
Dhaka,2002,10,52
Dhaka,2002,11,36
Dhaka,2002,12,0
Dhaka,2003,1,0
Dhaka,2003,2,25
Dhaka,2003,3,96
Dhaka,2003,4,123
Dhaka,2003,5,140
Dhaka,2003,6,473
Dhaka,2003,7,191
Dhaka,2003,8,202
Dhaka,2003,9,264
Dhaka,2003,10,134
Dhaka,2003,11,0
Dhaka,2003,12,45
Dhaka,2004,1,0
Dhaka,2004,2,0
Dhaka,2004,3,9
Dhaka,2004,4,167
Dhaka,2004,5,162
Dhaka,2004,6,476
Dhaka,2004,7,295
Dhaka,2004,8,191
Dhaka,2004,9,839
Dhaka,2004,10,208
Dhaka,2004,11,0
Dhaka,2004,12,0
Dhaka,2005,1,1
Dhaka,2005,2,3
Dhaka,2005,3,155
Dhaka,2005,4,91
Dhaka,2005,5,291
Dhaka,2005,6,259
Dhaka,2005,7,542
Dhaka,2005,8,361
Dhaka,2005,9,514
Dhaka,2005,10,417
Dhaka,2005,11,3
Dhaka,2005,12,0
Dhaka,2006,1,0
Dhaka,2006,2,0
Dhaka,2006,3,0
Dhaka,2006,4,181
Dhaka,2006,5,185
Dhaka,2006,6,326
Dhaka,2006,7,331
Dhaka,2006,8,167
Dhaka,2006,9,663
Dhaka,2006,10,61
Dhaka,2006,11,5
Dhaka,2006,12,0
Dhaka,2007,1,0
Dhaka,2007,2,30
Dhaka,2007,3,11
Dhaka,2007,4,163
Dhaka,2007,5,185
Dhaka,2007,6,628
Dhaka,2007,7,753
Dhaka,2007,8,505
Dhaka,2007,9,179
Dhaka,2007,10,320
Dhaka,2007,11,111
Dhaka,2007,12,0
Dhaka,2008,1,23
Dhaka,2008,2,56
Dhaka,2008,3,45
Dhaka,2008,4,91
Dhaka,2008,5,205
Dhaka,2008,6,577
Dhaka,2008,7,563
Dhaka,2008,8,319
Dhaka,2008,9,279
Dhaka,2008,10,227
Dhaka,2008,11,0
Dhaka,2008,12,0
Dhaka,2009,1,1
Dhaka,2009,2,1
Dhaka,2009,3,43
Dhaka,2009,4,14
Dhaka,2009,5,168
Dhaka,2009,6,170
Dhaka,2009,7,676
Dhaka,2009,8,482
Dhaka,2009,9,298
Dhaka,2009,10,74
Dhaka,2009,11,4
Dhaka,2009,12,0
Dhaka,2010,1,0
Dhaka,2010,2,48
Dhaka,2010,3,22
Dhaka,2010,4,37
Dhaka,2010,5,177
Dhaka,2010,6,308
Dhaka,2010,7,167
Dhaka,2010,8,340
Dhaka,2010,9,169
Dhaka,2010,10,174
Dhaka,2010,11,0
Dhaka,2010,12,81
Dhaka,2011,1,0
Dhaka,2011,2,0
Dhaka,2011,3,20
Dhaka,2011,4,123
Dhaka,2011,5,235
Dhaka,2011,6,314
Dhaka,2011,7,356
Dhaka,2011,8,409
Dhaka,2011,9,207
Dhaka,2011,10,112
Dhaka,2011,11,0
Dhaka,2011,12,0
Dhaka,2012,1,10
Dhaka,2012,2,1
Dhaka,2012,3,37
